Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
9611087191973612,"2025-12-01 09:59:52",sell,0.01,ETHUSD,2838.71000000,0,0,"2025-12-03 07:59:54",3057.39000000,-0.48,-0.19,-21.87000000,-218.7,165602
96575968,"2025-12-01 20:59:55",sell,0.01,BNBUSD,817.50000000,0,0,"2025-12-03 01:59:58",876.98000000,-1.42,-0.56,-59.48000000,-59.5,104403
96067786,"2025-12-01 07:59:49",sell,0.01,BTCUSD,85962.28000000,0,0,"2025-12-03 01:59:50",91240.70000000,-1.48,-0.58,-52.78000000,-5278.4,151201
96110871,"2025-12-01 09:59:52",sell,0.01,ETHUSD,2838.71000000,0,0,"2025-12-03 00:59:53",3016.63000000,-0.48,-0.19,-17.79000000,-177.9,140401
96550753,"2025-12-01 19:59:54",sell,0.01,ETHUSD,2737.83000000,0,0,"2025-12-02 18:59:52",2994.41000000,-0.23,-0.19,-25.66000000,-256.6,82798
96031699,"2025-12-01 05:59:53",sell,0.01,ETHUSD,2823.55000000,0,0,"2025-12-02 16:59:53",2893.33000000,-0.23,-0.18,-6.98000000,-69.8,126000
95996802,"2025-12-01 03:59:49",sell,0.01,BTCUSD,87153.77000000,0,0,"2025-12-02 16:59:50",89209.46000000,-0.72,-0.57,-20.56000000,-2055.7,133201
95996825,"2025-12-01 03:59:52",sell,0.01,ETHUSD,2849.59000000,0,0,"2025-12-02 11:59:52",2797.33000000,-0.23,-0.18,5.23000000,52.3,115200
96041733,"2025-12-01 06:59:54",sell,0.01,BNBUSD,823.19000000,0,0,"2025-12-02 06:59:54",832.20000000,-0.69,-0.54,-9.01000000,-9,86400
95867978,"2025-11-29 10:59:51",sell,0.01,ETHUSD,3006.38000000,0,0,"2025-11-30 16:59:52",3036.51000000,0,-0.2,-3.01000000,-30.1,108001
95865013,"2025-11-29 08:20:53",sell,0.01,BTCUSD,90578.87000000,0,0,"2025-11-30 11:59:50",91361.15000000,0,-0.59,-7.82000000,-782.3,99537
95064096,"2025-11-27 02:59:51",sell,0.01,ETHUSD,3033.60000000,0,0,"2025-11-28 02:59:51",3013.61000000,-0.25,-0.2,2.00000000,20,86400
95064091,"2025-11-27 02:59:48",sell,0.01,BTCUSD,90410.86000000,0,0,"2025-11-27 09:59:48",91361.87000000,0,-0.59,-9.51000000,-951,25200
94795578,"2025-11-26 15:59:49",sell,0.01,BTCUSD,87070.12000000,0,0,"2025-11-26 19:59:49",89814.37000000,0,-0.57,-27.44000000,-2744.3,14400
94443315,"2025-11-26 02:59:46",buy,0.01,ETHUSD,2953.05000000,0,0,"2025-11-26 13:59:48",2912.68000000,0,-0.19,-4.04000000,-40.4,39602
93158707,"2025-11-23 18:59:47",sell,0.01,ETHUSD,2796.81000000,0,0,"2025-11-25 00:59:47",2959.59000000,-0.25,-0.19,-16.28000000,-162.8,108000
92453696,"2025-11-20 19:59:47",sell,0.01,BNBUSD,879.23000000,0,0,"2025-11-24 21:59:46",869.44000000,-2.82,-0.57,9.79000000,9.8,352799
93299655,"2025-11-24 09:59:47",sell,0.01,BTCUSD,86983.23000000,0,0,"2025-11-24 20:59:46",88663.85000000,0,-0.57,-16.81000000,-1680.6,39599
93253112,"2025-11-24 06:59:46",sell,0.01,BTCUSD,86699.80000000,0,0,"2025-11-24 07:59:47",87422.21000000,0,-0.56,-7.22000000,-722.4,3601
93197088,"2025-11-24 02:59:47",sell,0.01,BTCUSD,86698.90000000,0,0,"2025-11-24 04:59:47",87457.44000000,0,-0.56,-7.59000000,-758.5,7200
9110026687887475,"2025-11-18 18:06:30",sell,0.01,BTCUSD,92546.22000000,0,0,"2025-11-24 00:59:47",87914.35000000,-4.38,-0.59,46.32000000,4631.9,456797
9181036587883175,"2025-11-19 21:09:16",sell,0.01,ETHUSD,2898.99000000,0,0,"2025-11-23 21:59:46",2822.12000000,-1.18,-0.184,7.69000000,76.9,348630
9181036587875229,"2025-11-19 21:09:16",sell,0.01,ETHUSD,2898.99000000,0,0,"2025-11-23 17:59:47",2835.23000000,-1.19,-0.184,6.38000000,63.8,334231
9181036587863300,"2025-11-19 21:09:16",sell,0.01,ETHUSD,2898.99000000,0,0,"2025-11-23 11:59:48",2815.37000000,-1.18,-0.184,8.36000000,83.6,312632
92481039,"2025-11-20 20:59:47",sell,0.01,ETHUSD,2813.59000000,0,0,"2025-11-23 11:59:47",2815.37000000,-0.93,-0.18,-0.18000000,-1.8,226800
9110026687863298,"2025-11-18 18:06:30",sell,0.01,BTCUSD,92546.22000000,0,0,"2025-11-23 11:59:47",86348.65000000,-4.39,-0.58,61.98000000,6197.6,409997
91100272,"2025-11-18 18:06:31",sell,0.01,BNBUSD,925.88000000,0,0,"2025-11-23 05:59:47",847.09000000,-4.34,-0.58,78.79000000,78.8,388396
92411883,"2025-11-20 18:59:47",sell,0.01,ETHUSD,2855.52000000,0,0,"2025-11-22 18:59:46",2753.93000000,-0.93,-0.18,10.16000000,101.6,172799
91100266,"2025-11-18 18:06:30",sell,0.01,BTCUSD,92546.22000000,0,0,"2025-11-22 08:13:04",84222.89000000,-4.39,-0.57,83.23000000,8323.3,309994
9181036586671436,"2025-11-19 21:09:16",sell,0.01,ETHUSD,2898.99000000,0,0,"2025-11-20 02:59:47",3019.96000000,-0.25,-0.194,-12.10000000,-121,21031
90574652,"2025-11-17 18:00:10",sell,0.01,BNBUSD,912.19000000,0,0,"2025-11-20 00:59:47",892.90000000,-2.27,-0.59,19.29000000,19.3,197977
91810365,"2025-11-19 21:09:16",sell,0.01,ETHUSD,2898.99000000,0,0,"2025-11-20 00:59:47",2983.99000000,-0.25,-0.194,-8.50000000,-85,13831
90670638,"2025-11-17 22:00:07",sell,0.01,BTCUSD,91603.49000000,0,0,"2025-11-19 21:09:15",89277.29000000,-1.54,-0.59,23.26000000,2326.2,169748
9021971185902765,"2025-11-16 23:00:10",sell,0.04,SOLUSD,136.53000000,0,0,"2025-11-18 18:06:18",138.96000000,-0.43,-0.35714286,-9.72000000,-2.4,155168
90642381,"2025-11-17 21:00:07",sell,0.01,ETHUSD,3025.04000000,0,0,"2025-11-18 18:06:17",3101.86000000,-0.25,-0.2,-7.68000000,-76.8,75970
9021970985902746,"2025-11-16 23:00:09",sell,0.01,ETHUSD,3088.99000000,0,0,"2025-11-18 18:06:16",3101.48000000,-0.25,-0.2,-1.25000000,-12.5,155167
